AGENT_CODE_HASH,ODA,TERRITORY,BIRTHDATE,SEX_CODE,MARITAL_STATUS,AGE,IS_TERMINATED,YEARS_IN_COMPANY,IS_ACTIVATED_WITHIN_A_YEAR,LICENSE_TYPE_CODE,Ave_Training_Duration,Trainings_Attended,HAS_TRAINING
572827864132816192,2019-08-22,TERRITORY 2 - METRO MANILA,1945-03-27,M,P,75,1,1,0, V,0.0,0.0,No
3523150806822269615,2019-08-28,TERRITORY 2 - METRO MANILA,1990-04-19,M,S,30,1,1,0, V,0.0,0.0,No
14747130783363801894,2019-09-13,TERRITORY 2 - METRO MANILA,1980-12-15,F,S,42,0,3,1,L V,1.4285714285714286,7.0,Yes
8893220504855818151,2019-09-18,TERRITORY 2 - METRO MANILA,1992-03-20,M,S,29,1,2,0, V,0.0,0.0,No
17386687775784361653,2019-09-18,TERRITORY 2 - METRO MANILA,1996-03-10,M,S,25,1,2,0, V,0.0,0.0,No
13547435284860994862,2019-09-24,TERRITORY 2 - METRO MANILA,1978-11-20,F,M,44,0,3,1,L V,1.5,2.0,Yes
17122361086723455146,2019-04-29,TERRITORY 1 - NORTH AND CENTRAL LUZON,1997-01-19,F,S,24,1,2,0, V,0.0,0.0,No
16250462645123823113,2019-04-29,TERRITORY 1 - NORTH AND CENTRAL LUZON,1998-01-23,M,S,23,1,2,0, V,0.0,0.0,No
14963543288110052392,2019-04-30,TERRITORY 1 - NORTH AND CENTRAL LUZON,1965-10-01,F,S,56,1,2,0, V,0.0,0.0,No
1534753957435229944,2019-05-10,TERRITORY 6 - MINDANAO,1982-03-08,F,S,38,1,1,0, V,0.0,0.0,No
9218894516418981612,2019-05-21,TERRITORY 2 - METRO MANILA,1989-12-15,F,S,29,1,0,0, V,0.0,0.0,No
16642682904276786936,2019-05-29,TERRITORY 2 - METRO MANILA,1993-06-15,F,S,27,1,1,0, V,0.0,0.0,No
14216075137616696308,2019-05-29,TERRITORY 1 - NORTH AND CENTRAL LUZON,1987-05-28,F,S,32,1,0,1, V,0.0,0.0,No
171419887033681097,2019-05-31,TERRITORY 2 - METRO MANILA,1990-05-20,F,S,32,0,3,1,L V,0.0,0.0,No
16848666623540295152,2019-06-14,TERRITORY 2 - METRO MANILA,1974-02-19,F,M,46,1,0,0, V,0.0,0.0,No
17391531190349310123,2019-06-21,TERRITORY 2 - METRO MANILA,1990-12-09,M,M,31,1,2,1, V,0.0,0.0,No
6534864328570319003,2019-06-25,TERRITORY 3 - VISAYAS,1982-06-04,M,S,38,1,1,0, V,0.0,0.0,No
17056324269876644816,2019-07-16,TERRITORY 2 - METRO MANILA,1996-11-29,F,M,24,1,1,0, V,0.0,0.0,No
16386459840932898833,2019-07-16,TERRITORY 6 - MINDANAO,1990-06-16,M,S,30,1,1,0, V,0.0,0.0,No
5876674312979834351,2019-07-16,TERRITORY 4 - SOUTH LUZON,1989-03-09,M,S,32,1,1,0, V,0.0,0.0,No
7126804631219876738,2019-07-22,TERRITORY 4 - SOUTH LUZON,1995-12-08,F,S,25,1,1,0, V,0.0,0.0,No
16803662826614814145,2019-07-30,TERRITORY 4 - SOUTH LUZON,1980-11-07,M,M,40,1,1,0, V,0.0,0.0,No
11173805661882616357,2019-07-30,TERRITORY 3 - VISAYAS,1994-01-14,F,S,27,1,2,0, V,0.0,0.0,No
14532619790736561253,2019-07-31,TERRITORY 4 - SOUTH LUZON,1984-09-27,F,M,36,1,1,0, V,0.0,0.0,No
11250687069353792398,2019-08-09,TERRITORY 4 - SOUTH LUZON,1992-11-17,F,S,30,0,3,1, V,1.5,2.0,Yes
2653385562308482708,2019-08-13,TERRITORY 2 - METRO MANILA,1977-04-25,F,M,45,0,3,1,L V,1.1666666666666667,6.0,Yes
397192005622551235,2019-08-14,TERRITORY 2 - METRO MANILA,1973-06-03,M,M,47,1,1,0, V,0.0,0.0,No
6208823340475592302,2019-08-15,TERRITORY 3 - VISAYAS,1989-04-10,M,S,31,1,1,0, V,0.0,0.0,No
8539199041590992923,2019-08-16,TERRITORY 1 - NORTH AND CENTRAL LUZON,1986-11-09,M,M,36,0,3,1,L V,0.0,0.0,No
12612486836632118501,2019-08-19,TERRITORY 2 - METRO MANILA,1993-03-22,F,M,27,1,1,0, V,0.0,0.0,No
3941550353553744961,2019-08-19,TERRITORY 2 - METRO MANILA,1997-05-25,F,S,22,1,0,0, V,0.0,0.0,No
12948969697766484187,2019-08-23,TERRITORY 3 - VISAYAS,1984-03-20,F,M,37,1,2,0, V,0.0,0.0,No
