AGENT_CODE_HASH,ISSUE_DATE,POLICY_STATUS_DESC,PLAN_DESC,PLAN_GROUP,ANNUALIZED_PREM_PESO,MODAL_PREMIUM_PESO,BILLING_MODE,POLICY_NO_HASH
7797186264837330443,2020-09-07,PREMIUM PAYING,WEALTH ASSURE,VUL,100000.0,100000.0,12.0,9627157125449974526
8905632497637062545,2018-10-12,PREMIUM PAYING,WEALTH SECURE,VUL,12000.0,1000.0,1.0,41740460905692946
7797186264837330443,2021-10-18,PREMIUM PAYING,WEALTH ASSURE GLOBAL,VUL,120000.0,10000.0,1.0,4180532431894246485
14660503834085344775,2019-05-29,SURRENDERED (COMPUTED),WEALTH SECURE,VUL,30000.0,7500.0,3.0,14898912884163556527
13661643219127984980,2020-10-20,PREMIUM PAYING,WEALTH ASSURE GLOBAL,VUL,120000.0,120000.0,12.0,9145277413121572391
11694545229879197560,2022-03-21,PREMIUM PAYING,WEALTH SECURE GLOBAL,VUL,50000.04,4166.67,1.0,14533755272915415410
16444268808316089035,2022-03-25,PREMIUM PAYING,WEALTH SECURE GLOBAL,VUL,60000.0,5000.0,1.0,16237592532413029439
1955031202436203835,2021-03-09,EXPIRED,I-SHIELD PRIME 300,TRAD,3000.0,3000.0,12.0,15540338949829834508
6952461655007171051,2018-12-11,AUTOMATIC PAID-UP,WEALTH BUILDER,VUL,50000.0,50000.0,12.0,17872550530112214266
10535629689979059023,2020-03-04,PREMIUM PAYING,SOLID COVER,VUL,25000.0,6250.0,3.0,6478878428040898575
13169195916478740516,2022-01-17,PREMIUM PAYING,SOLID FUTURE GLOBAL,VUL,50000.0,12500.0,3.0,17772014767088224770
11669976505899196320,2022-03-11,PREMIUM PAYING,WEALTH SECURE GLOBAL,VUL,50400.0,12600.0,3.0,18442248336886017347
2119859051444529333,2020-11-03,PREMIUM PAYING,WEALTH ASSURE EDUCATION (COLLEGE),VUL,90000.0,7500.0,1.0,17434142038598983250
8905632497637062545,2018-10-29,LAPSED,WEALTH SECURE,VUL,12000.0,1000.0,1.0,82940614058606228
9389097724970705039,2018-09-20,PREMIUM PAYING,WEALTH SECURE,VUL,30000.0,30000.0,12.0,13942621592973075232
7744625667429776055,2021-11-16,PREMIUM PAYING,WEALTH SECURE,VUL,18000.0,4500.0,3.0,14031807721900029553
14971972908159332651,2019-06-20,PREMIUM PAYING,WEALTH ASSURE,VUL,160000.0,40000.0,3.0,2151764488373107412
14660503834085344775,2019-11-15,PREMIUM PAYING,WEALTH ASSURE,VUL,100000.0,25000.0,3.0,7278959886946449443
13661643219127984980,2020-04-24,SURRENDERED (COMPUTED),SOLID FUND BUILDER,VUL,100044.9,100044.9,12.0,10924853491862577494
13661643219127984980,2018-11-21,PREMIUM PAYING,WEALTH SECURE,VUL,12000.0,12000.0,12.0,10469173311596891178
16444268808316089035,2021-09-13,PREMIUM PAYING,WEALTH ASSURE GLOBAL,VUL,120000.0,120000.0,12.0,9039959562379686399
14971972908159332651,2022-03-23,PREMIUM PAYING,SOLID FUTURE,VUL,24000.0,2000.0,1.0,6930843578609341267
15504912904414454951,2018-09-10,PREMIUM PAYING,SECURITY,VUL,100000.0,25000.0,3.0,1632494406694335930
16912555611468841559,2018-08-22,PREMIUM PAYING,SECURITY,VUL,50000.04,4166.67,1.0,3049155128823142511
7556538101427457654,2018-12-04,PREMIUM PAYING,WEALTH SECURE,VUL,10000.0,2500.0,3.0,17709786398939474239
7556538101427457654,2018-12-04,PREMIUM PAYING,WEALTH SECURE,VUL,30000.0,2500.0,1.0,4732429320620249284
8539199041590992923,2020-10-14,EXPIRED,I-SHIELD PRIME 300,TRAD,3000.0,3000.0,12.0,1412696197056367845
10924521315056929634,2021-11-02,PREMIUM PAYING,WEALTH SECURE,VUL,15000.0,1250.0,1.0,10823706869040372128
10441871554359318110,2020-09-28,AUTOMATIC PAID-UP,SOLID FUND BUILDER,VUL,1000000.0,1000000.0,12.0,13350185935519886624
9365473202590817175,2018-05-11,AUTOMATIC PAID-UP,WEALTH BUILDER,VUL,100000.0,100000.0,12.0,708603431169335153
796963873408021304,2021-07-19,PREMIUM PAYING,SOLID FUTURE,VUL,25000.0,25000.0,12.0,2786530467690765959
2119859051444529333,2022-02-10,AUTOMATIC PAID-UP,I-SHIELD PRIME 300,TRAD,3000.0,3000.0,12.0,1514253706770781707
9441452696317937692,2021-06-10,PREMIUM PAYING,SOLID FUTURE,VUL,30000.0,7500.0,3.0,1833549718740436230
7556538101427457654,2018-03-28,PREMIUM PAYING,WEALTH SECURE,VUL,24000.0,2000.0,1.0,188058981145010309
17959097408540954614,2018-05-30,PREMIUM PAYING,WEALTH SECURE,VUL,10000.0,5000.0,6.0,3653201098359039318
3229156431645114294,2018-12-04,PREMIUM PAYING,SURE COVER,VUL,24000.0,2000.0,1.0,13541093413668893851
14788189428013241810,2020-12-03,SURRENDERED (COMPUTED),WEALTH SECURE,VUL,50000.0,50000.0,12.0,4686437543565317087
8905632497637062545,2018-11-21,PREMIUM PAYING,WEALTH SECURE,VUL,30000.0,30000.0,12.0,7800935284269614901
8905632497637062545,2018-08-15,PREMIUM PAYING,WEALTH SECURE,VUL,12000.0,1000.0,1.0,11798795439056347502
7797186264837330443,2020-10-07,PREMIUM PAYING,WEALTH ASSURE GLOBAL,VUL,120000.0,120000.0,12.0,16862792905415963974
14775520832254618601,2021-04-12,PREMIUM PAYING,WEALTH SECURE,VUL,42000.0,3500.0,1.0,2072652952053332612
8905632497637062545,2019-12-18,PREMIUM PAYING,WEALTH SECURE,VUL,30000.0,2500.0,1.0,13643982117511212354
4116726054210438201,2021-03-30,PREMIUM PAYING,WEALTH SECURE,VUL,30000.0,15000.0,6.0,8724726629163804938
13422884281377697905,2021-04-21,PREMIUM PAYING,WEALTH SECURE,VUL,30000.0,7500.0,3.0,16712697827026917816
16576717915194504549,2018-10-24,PREMIUM PAYING,WEALTH SECURE,VUL,12000.0,3000.0,3.0,11373229673177680517
1415725580212064876,2021-12-03,PREMIUM PAYING,WEALTH SECURE,VUL,30000.0,30000.0,12.0,9120757528805722964
