customer_id,age,sex,region,major_region,married,no_of_children,has_children,in_luzon,is_married,ave_days_booking_departure,ave_guests,ave_spend_per_booking,total_flights,min_guests,max_guests,ave_spend_per_booking_per_guest,Generation
1,36,F,Region 3 - Central Luzon,Luzon,True,2,1,1,1,10.0,5.0,8492.748184580736,2,4,6,1698.5496369161472,Millennial
2,37,M,Region 9 - Zamboanga,Mindanao,False,0,0,0,0,29.5,1.3333333333333333,5321.385269439616,6,1,3,3991.0389520797125,Millennial
3,29,M,Region 6 - W. Visayas,Visayas,False,2,1,0,0,36.0,2.0,14140.60576242923,2,1,3,7070.302881214615,Millennial
4,25,F,Region 3 - Central Luzon,Luzon,True,1,1,1,1,49.5,3.0,21605.032533776946,4,2,6,7201.677511258982,Generation Z
5,36,F,Region 4 - CALABARZON,Luzon,False,0,0,1,0,20.0,1.0,1798.45417374341,1,1,1,1798.45417374341,Millennial
6,15,M,Region 7 - C. Visayas,Visayas,False,0,0,0,0,41.333333333333336,1.6666666666666667,12761.606107260073,3,1,3,7656.963664356043,Generation Z
7,36,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,15.333333333333334,1.6666666666666667,2799.3176446890598,3,1,3,1679.5905868134357,Millennial
8,27,M,Region 4 - CALABARZON,Luzon,True,0,0,1,1,17.0,4.0,6499.54448490709,2,4,4,1624.8861212267725,Millennial
9,27,F,Region 11 - Davao,Mindanao,True,0,0,0,1,12.0,2.0,3584.47088499256,1,2,2,1792.23544249628,Millennial
10,21,M,Region 12 - SOCCKSARGEN,Mindanao,True,0,0,0,1,60.5,3.0,47200.058027990206,2,2,4,15733.352675996735,Generation Z
11,29,F,MIMAROPA,Luzon,False,1,1,1,0,16.0,2.0,5243.377216376981,2,1,3,2621.6886081884904,Millennial
12,48,F,MIMAROPA,Luzon,True,2,1,1,1,39.25,2.0,11529.593638816403,4,1,3,5764.796819408201,Generation X
13,34,M,Region 9 - Zamboanga,Mindanao,False,0,0,0,0,36.5,1.0,6888.2786783816555,2,1,1,6888.2786783816555,Millennial
14,35,M,Region 5 - Bicol,Luzon,False,0,0,1,0,39.5,1.0,4518.155335471591,2,1,1,4518.155335471591,Millennial
15,22,F,Region 9 - Zamboanga,Mindanao,False,0,0,0,0,9.0,1.0,2390.03411111799,1,1,1,2390.03411111799,Generation Z
16,38,M,Region 11 - Davao,Mindanao,True,0,0,0,1,34.0,2.0,10777.62582732742,2,2,2,5388.81291366371,Millennial
17,21,F,Region 4 - CALABARZON,Luzon,False,0,0,1,0,12.5,2.0,4454.8536905605,2,1,3,2227.42684528025,Generation Z
18,27,F,Region 5 - Bicol,Luzon,True,0,0,1,1,13.0,2.0,1302.554770567825,2,2,2,651.2773852839125,Millennial
19,41,M,NCR,Luzon,False,0,0,1,0,23.0,2.5,1000.0,2,1,4,400.0,Millennial
20,33,Other,NCR,Luzon,False,0,0,1,0,16.0,1.0,2706.97391245056,3,1,1,2706.97391245056,Millennial
21,38,M,Region 3 - Central Luzon,Luzon,False,0,0,1,0,62.666666666666664,1.0,7326.896146048154,3,1,1,7326.896146048154,Millennial
